season,lg,player,player_id,age
2019,nba,Andre Drummond,drumman01,25
2019,nba,Terrance Ferguson,fergute01,20
2019,nba,De'Aaron Fox,foxde01,21
2019,nba,Shai Gilgeous-Alexander,gilgesh01,20
2019,nba,Gary Harris,harriga01,24
2019,nba,Andre Iguodala,iguodan01,35
2019,nba,Kyrie Irving,irvinky01,26
2019,nba,Nikola Jokić,jokicni01,23
2019,nba,Damian Lillard,lillada01,28
2019,nba,Brook Lopez,lopezbr01,30
2019,nba,Khris Middleton,middlkh01,27
2019,nba,Ricky Rubio,rubiori01,28
2019,nba,Blake Griffin,griffbl01,29
2019,nba,LeBron James,jamesle01,34
2019,nba,Kemba Walker,walkeke02,28
2019,nba,Karl-Anthony Towns,townska01,23
2019,nba,LaMarcus Aldridge,aldrila01,33
2019,nba,Danilo Gallinari,gallida01,30
2019,nba,Nikola Vučević,vucevni01,28
2019,nba,Luka Dončić,doncilu01,19
2019,nba,Dwyane Wade,wadedw01,37
2019,nba,DeMar DeRozan,derozde01,29
2019,nba,D'Angelo Russell,russeda01,22
2019,nba,Tobias Harris,harrito02,26
2019,nba,Marvin Bagley III,baglema01,19
2019,nba,Devin Booker,bookede01,22
2019,nba,Eric Gordon,gordoer01,30
2019,nba,Domantas Sabonis,sabondo01,22
2019,nba,Lou Williams,willilo02,32
2019,nba,Trae Young,youngtr01,20
2019,nba,Deandre Ayton,aytonde01,20
2019,nba,Jaren Jackson Jr.,jacksja02,19
2019,nba,Collin Sexton,sextoco01,20
2019,nba,Landry Shamet,shamela01,21
2019,nba,Mitchell Robinson,robinmi01,20
2019,nba,Kevin Huerter,huertke01,20
2019,nba,Mikal Bridges,bridgmi01,22
2019,nba,Kevin Knox,knoxke01,19
2019,nba,Josh Okogie,okogijo01,20
2019,nba,Jalen Brunson,brunsja01,22
2019,nba,Allonzo Trier,trieral01,23
2019,nba,Rodions Kurucs,kurucro01,20
2019,nba,Wendell Carter Jr.,cartewe01,19
2019,nba,Miles Bridges,bridgmi02,20
2019,nba,Bruce Brown,brownbr01,22
2019,nba,Harry Giles,gilesha01,20
2019,nba,Mo Bamba,bambamo01,20
2019,nba,Aaron Holiday,holidaa01,22
2018,nba,Rudy Gobert,goberru01,25
2018,nba,Anthony Davis,davisan02,24
2018,nba,Victor Oladipo,oladivi01,25
2018,nba,Jrue Holiday,holidjr01,27
2018,nba,Robert Covington,covinro01,27
2018,nba,Joel Embiid,embiijo01,23
2018,nba,Draymond Green,greendr01,27
2018,nba,Al Horford,horfoal01,31
2018,nba,Dejounte Murray,murrade01,21
2018,nba,Jimmy Butler,butleji01,28
2018,nba,Chris Paul,paulch01,32
2018,nba,Paul George,georgpa01,27
