season,award,player,player_id,age,winner
2022,nba mip,Jaren Jackson Jr.,jacksja02,22,False
2022,nba mip,Jalen Brunson,brunsja01,25,False
2022,nba mip,Max Strus,strusma01,25,False
2022,nba mvp,Nikola Jokić,jokicni01,26,True
2022,nba mvp,Joel Embiid,embiijo01,27,False
2022,nba mvp,Giannis Antetokounmpo,antetgi01,27,False
2022,nba mvp,Devin Booker,bookede01,25,False
2022,nba mvp,Luka Dončić,doncilu01,22,False
2022,nba mvp,Jayson Tatum,tatumja01,23,False
2022,nba mvp,Ja Morant,moranja01,22,False
2022,nba mvp,Stephen Curry,curryst01,33,False
2022,nba mvp,Chris Paul,paulch01,36,False
2022,nba mvp,DeMar DeRozan,derozde01,32,False
2022,nba mvp,Kevin Durant,duranke01,33,False
2022,nba mvp,LeBron James,jamesle01,37,False
2022,nba roy,Scottie Barnes,barnesc01,20,True
2022,nba roy,Evan Mobley,mobleev01,20,False
2022,nba roy,Cade Cunningham,cunnica01,20,False
2022,nba roy,Jalen Green,greenja05,19,False
2022,nba roy,Franz Wagner,wagnefr01,20,False
2022,nba roy,Herbert Jones,joneshe01,23,False
2022,nba smoy,Tyler Herro,herroty01,22,True
2022,nba smoy,Kevin Love,loveke01,33,False
2022,nba smoy,Cameron Johnson,johnsca02,25,False
2022,nba smoy,Jordan Clarkson,clarkjo01,29,False
2022,nba smoy,Luke Kennard,kennalu01,25,False
2022,nba smoy,Bogdan Bogdanović,bogdabo01,29,False
2022,nba smoy,Kelly Oubre Jr.,oubreke01,26,False
2022,nba smoy,De'Anthony Melton,meltode01,23,False
2022,nba smoy,Montrezl Harrell,harremo01,28,False
2022,nba smoy,Immanuel Quickley,quickim01,22,False
2022,nba smoy,Brandon Clarke,clarkbr01,25,False
2022,nba smoy,Tyus Jones,jonesty01,25,False
2022,nba smoy,Maxi Kleber,klebima01,30,False
2021,nba dpoy,Rudy Gobert,goberru01,28,True
2021,nba dpoy,Ben Simmons,simmobe01,24,False
2021,nba dpoy,Draymond Green,greendr01,30,False
2021,nba dpoy,Bam Adebayo,adebaba01,23,False
2021,nba dpoy,Giannis Antetokounmpo,antetgi01,26,False
2021,nba dpoy,Clint Capela,capelca01,26,False
2021,nba dpoy,Joel Embiid,embiijo01,26,False
2021,nba dpoy,Jrue Holiday,holidjr01,30,False
2021,nba dpoy,Myles Turner,turnemy01,24,False
2021,nba dpoy,Jimmy Butler,butleji01,31,False
2021,nba dpoy,Kentavious Caldwell-Pope,caldwke01,27,False
2021,nba dpoy,Matisse Thybulle,thybuma01,23,False
2021,nba mip,Julius Randle,randlju01,26,True
2021,nba mip,Jerami Grant,grantje01,26,False
2021,nba mip,Michael Porter Jr.,portemi01,22,False
2021,nba mip,Christian Wood,woodch01,25,False
2021,nba mip,Zach LaVine,lavinza01,25,False
